id;year;country;event;artist;title;points_total;rank
314;1977;IRL;3;The Swarbriggs;It's Nice To Be In Love Again;119;3
315;1977;MC;3;Michèle Torr;Une petite française;96;4
316;1977;NL;3;Heddy Lester;De mallemolen;35;12
317;1977;AUT;3;Schmetterlinge;Boom Boom Boomerang;11;17
318;1977;N;3;Anita Skorgan;Casanova;18;14
319;1977;D;3;Silver Convention;Telegram;55;8
320;1977;LUX;3;Anne Marie B.;Frère Jacques;17;16
321;1977;POR;3;Os Amigos;Portugal no coração;18;14
322;1977;UK;3;Lynsey de Paul & Mike Moran;Rock Bottom;121;2
323;1977;GR;3;Pascalis, Marianna et al.;Mathema solfege;92;5
324;1977;ISR;3;Ilanit;Ahava he shir le shnaim;49;11
325;1977;CH;3;Pepe Lienhard Band;Swiss Lady;71;6
326;1977;S;3;Forbes;Beatles;2;18
327;1977;E;3;Micky;Enseñame a cantar;52;9
328;1977;I;3;Mia Martini;Libera;33;13
329;1977;SF;3;Monica Aspelund;Lapponia;50;10
330;1977;B;3;Dream Express;A Million In 1, 2, 3;69;7
331;1977;F;3;Marie Myriam;L'oiseau et l'enfant;136;1
332;1978;IRL;3;Colm C.T. Wilkinson;Born To Sing;86;5
333;1978;N;3;Jahn Teigen;Mil etter mil;0;20
334;1978;I;3;Ricchi & Poveri;Questo amore;53;12
335;1978;SF;3;Seija Simola;Anna rakkaudelle tilaisuus;2;18
336;1978;POR;3;Gemini;Dai li dou;5;17
337;1978;F;3;Joël Prévost;Il y aura toujours des violons;119;3
338;1978;E;3;José Vélez;Bailemos un vals;65;9
339;1978;UK;3;CoCo;Bad Old Days;61;11
340;1978;CH;3;Carole Vinci;Vivre;65;9
341;1978;B;3;Jean Vallée;L'amour ça fait chanter la vie;125;2
342;1978;NL;3;Harmony;T'is O.K.;37;13
343;1978;TR;3;Nazar;Sevince;2;18
344;1978;D;3;Ireen Sheer;Feuer;84;6
345;1978;MC;3;Caline & Olivier Toussaint;Les jardins de Monaco;107;4
346;1978;GR;3;Tania Tsanaklidou;Charlie Chaplin;66;8
347;1978;DK;3;Mabel;Boom-Boom;13;16
348;1978;LUX;3;Baccara;Parlez-vous français?;73;7
349;1978;ISR;3;Izhar Cohen & The Alpha-Beta;A-ba-ni-bi;157;1
350;1978;AUT;3;Springtime;Mrs. Caroline Robinson;14;15
351;1978;S;3;Björn Skifs;Det blir alltid värre framåt natten;26;14
352;1979;POR;3;Manuela Bravo;Sobe, sobe balão sobe;64;9
353;1979;I;3;Matia Bazar;Raggio di luna;27;15
354;1979;DK;3;Tommy Seebach;Disco Tango;76;6
355;1979;IRL;3;Cathal Dunne;Happy Man;80;5
356;1979;SF;3;Katri Helena;Katson sineen taivaan;38;14
357;1979;MC;3;Laurent Vaguener;Notre vie c'est la musique;12;16
358;1979;GR;3;Elpida;Socrates;69;8
359;1979;CH;3;Peter, Sue & Marc und Pfuri, Gorps & Kniri;Trödler / Co.;60;10
360;1979;D;3;Dschinghis Khan;Dschinghis Khan;86;4
361;1979;ISR;3;Gali Atari mit Milk & Honey;Hallelujah;125;1
362;1979;F;3;Anne-Marie David;Je suis l'enfant-soleil;106;3
363;1979;B;3;Micha Marah;Hey Nana;5;18
364;1979;LUX;3;Jeane Manson;J'ai déjà vu ça dans tes yeux;44;13
365;1979;NL;3;Xandra;Colorado;51;12
366;1979;S;3;Ted Gärdestad;Satellit;8;17
367;1979;N;3;Anita Skorgan;Oliver;57;11
368;1979;UK;3;Black Lace;Mary Ann;73;7
369;1979;AUT;3;Christina Simon;Heute in Jerusalem;5;18
370;1979;E;3;Betty Missiego;Su canción 16;116;2
371;1980;AUT;3;Blue Danube;Du bist Musik;64;8
372;1980;TR;3;Ajda Pekkan;Petr'oil;23;15
373;1980;GR;3;Anna Vissi;Auto-Stop;30;13
374;1980;LUX;3;Sophie & Magaly;Papa Pingouin;56;9
375;1980;MAR;3;Samira;Bitakat hob;7;18
376;1980;I;3;Alan Sorrenti;Non so che darei;87;6
377;1980;DK;3;Bamses Venner;Tænker altid på dig;25;14
378;1980;S;3;Tomas Ledin;Just nu;47;10
379;1980;CH;3;Paola;Cinéma;104;4
380;1980;SF;3;Vesa-Matti Loiri;Huilumies;6;19
381;1980;N;3;Sverre Kjelsberg & Mattis Hætta;Sámiid Ædnan;15;16
382;1980;D;3;Katja Ebstein;Theater;128;2
383;1980;UK;3;Prima Donna;Love Enough For Two;106;3
384;1980;POR;3;José Cid;Um grande, grande amor;71;7
385;1980;NL;3;Maggie MacNeal;Amsterdam;93;5
386;1980;F;3;Profil;Hé, hé, M'sieurs Dames;45;11
387;1980;IRL;3;Johnny Logan;What's Another Year;143;1
